,comment,taste,service,mood,cospa,negaposi
13,"とにかく美味しい！！！！接客やお店の雰囲気でなら勝るお店もあると思いますが、味では中々ないかもしれない。衝撃的な美味しさってあるんだな、と思いました。
接客等、勝るお店はあるかもと書きましたが、ナリサワもとても素敵な接客でした。",5,4.5,4.5,4.5,0.6
14,どの料理も美味しい事はもちろん、一つ一つの皿がこっていて美しく、見ても楽しめました。ノンアルコールでお茶を貰いましたが、それぞれの皿に合わせたお茶も見た目も味も楽しめました。一皿一皿、シェフやお店の方が、皿に込めた想いを伝えて頂き素敵な時間を過ごせました。また、利用したいと思います。,5,5,5,5,0.75
15,"娘の20歳のお誕生日祝いで、家族で利用しました。個室でなくても隣との間隔を十分にとっているので、まわりを気にせずゆっくりできます。スタッフの方々も心遣いが非常に素晴らしいです。お料理も手間がかかっており、どれも美味しかったです。
今度は家族以外の方とも利用したいです。",4,5,4.5,4,0.26666666666666666
16,"とても美味しいアメージングな体験ができました。ご馳走さまでした。シェフとお写真も撮らせていただき嬉しかったです。
また訪れたい、お友達にも紹介したいレストランです。",4.5,4,4.5,4,0.75
17,"素晴らしいレストランを体験するなら今が本当にチャンスです。
残したい日本の光景を料理に反映されていて美しいと美味しいの調和を感じました。
食べたあとにどれが一番美味しかったか？という質問には調和がとれているので
どれが欠けてもコースではなくなると思うぐらいに完成されていました。
ペアリングでは珍しい北国の日本酒が堪能できます。
山から野、そして海辺、そして海中、そして空に登って蒸発していくかのようなコース構成に
芸術を感じましたし、日本の自然信仰的な思想から寄り添い、新しくも淡くて強い構築している大人の構築力を感じます。
また行くぞ－－と主人と穏やかな気持で帰れてしわせな夜となりました。",5,5,5,5,0.7777777777777778
18,"サービスも素晴らしく、成沢さん自らご説明もしていただきました。
次回はランチも行ってみようと思います。
今後もよろしくお願いします。",5,5,5,5,0.3333333333333333
19,"素晴らしいお料理と素晴らしい接客でした。なりさわシェフのスペシャリテ茄子のお料理が絶品でした。
ウェイターさんも何を聞いても答えられる一流の接客を頂きました。
コロナのおかげで念願のレストランにお邪魔出来ました。また是非来訪したいです。",5,5,5,5,0.6666666666666667
20,"2年ぶりに伺いましたが、さすがのお料理でした。独創性に溢れ、とても美味しいです。
なぜか、ペアリングは富山県の日本酒とワインが多いのが謎でした。
また、楽しみに伺います。",5,5,5,2.5,0.75
21,"いつか行ってみたいレストランに、ようやく行けるようになりました。
全体的におしゃれで、とてもエレガントでした。
お料理のすべてに驚きを感じるぐらい、素晴らしい品々でした。
特に焼き立てのパンを提供するアイデアは面白くて、「焼き立てのご飯はいつも食べれるのに、そういえば焼き立てのパンはあんまりないね」と納得せざるを得ませんでした。
そのパンはあまりにもおいしかったので、柑橘の皮に少し抵抗のある私でも、ついつい追加を頼んでしまうぐらい・・・
ワインペアリングで出てくるお酒も、どれもお料理にぴったりで、そして特別を感じさせてくれるものばかりでした。
一つ気になったことを申し上げますと、
座っている席からちょうどステーションが見えて、スタッフさんのバタバタしている姿が少し気になりました・・・
でも忙しかったランチですので、理解できます。
また機会があれば、ぜひまたお伺いいたします。
すてきなひと時を過ごせました。ありがとうございました！",5,4,5,5,0.38888888888888884
22,お料理も斬新で美味しくてとても満足でした。お店の雰囲気もお気に入りで、素敵な時間を過ごさせていただきありがとうございました。,5,5,5,5,1.0
23,"とにかく最高です！食がこんなに楽しいとは！全ての皿が印象的で、ワクワク感が止まらなかった。
お値段もすごいので、年に何度もは行けないですが、いつかまた行きたいと思います。",5,5,4.5,5,0.75
24,17年ぶり3回目でランチは初めてでした。イメージが変わり、都心にいながら里山を感じられ外国の方が好まれる理由がわかる気がしました。白神山地の麹を使ってテーブルで焼いてくださるパンは眼も楽しませてくれました。魚介類の天ぷらを出し汁でいただくお皿は私は一番感激しました。マグロとカツオからのお出し、初めての味でした。飲み物はペアリングをお願いしたら富山の珍しいお酒を楽しめました。シャンパンはドンペリ2009ではなくオリジナルでした。ハーフなのでそうなのか、次回はフルコースで試してみたいと思います。ジビエは得意ではないですが、鹿肉も美味しく頂けました。有名なnarisawaさんご自身がテーブルに挨拶に来てくださいました。ランチで丁寧な対応だと思います。夫は甘い物が苦手なのですが、こちらのデザートは完食しました。コロナ禍のため夫と二人でこっそりとグルメを楽しんでいます。久しぶりでしたがまったく新しいお気に入りのレストランを見つけたようでうれしいです。,5,4.5,5,4.5,0.4523809523809524
25,今回家内と初めて利用させていただきました。コース料理（全12品）に加えて日本酒とワインペアリング（全9種類）をお願いしましたが、料理は勿論ですが、今まで見たことのない富山産の日本酒、および日本産のワインを堪能し、ソムリエの方のお話のうまさもあり、大変有意義な時間を過ごすことができました。料理は「里山の風景」を始め、3種類の茄子を用いた「祇園祭」、「森のパン」等、このお店でしか食べられない数々の料理にすっかり心を奪われてしまった一日で、さすがはNARISAWAさんと感じた次第です。またデザートもちろんですが、最後にいただいたほうじ茶も今まで飲んでいたほうじ茶は何だったのかと思えるほど、香り、味わい深く、料理以外にも手を抜かない姿勢に非常に感動しました。なかなか予約を取るのが難しいお店ですが、またタイミングが合えば再訪したいと思います。,5,5,5,4.5,0.5333333333333333
26,おまかせランチハーフコースを頂きました。ハーフコースでも驚くほど、日本の風土への考え方やお料理の世界観が伝わる、オールNARISAWAの意気込みを堪能させて頂きました。食事としてだけでなく、体験としても、思い出に残ります。大切な日の会食にもお勧めできます。,4,5,4,3.5,0.75
27,"思いがけなく予約が取れ、初めてこちらのお料理を頂くことができました。「ナリサワは特別」だとフランス人の友人が教えてくれた、その意味がよくわかりました。雨音を聞きながら緑に彩られたテーブルでいただくお料理からは、森林、苔生す岩肌、渓谷の水と樹木。。。日本の美しい風景が香りとともによみがえるようでした。まるで太古の時代に戻って里山の恵みをそのまま頂いているような、不思議な感覚を覚えました。ハーフのコースでしたが、「総合芸術」を鑑賞したような満足感を感じつつ、帰宅してもしばらく愉しさが続いていました。秋にはどんなお料理を頂くことができるのかと、想像をふくらませています。
「雰囲気」にはお料理が醸し出すマジックを加味して。接客は、最後のお会計で間が空いてしまったのをマイナスして。
こうして点数をつけることは、難しい、特別なお店です。",4.5,4,4.5,4,0.5
28,"7年前に友人と伺い、子ども達が大きくなったら家族で伺いたいと憧れておりましたお店です。今回は22年目の結婚記念日で、家族で伺いました。前回と同じメニューにならないようにご配慮くださいました。
お店はゆったりとして、コロナの対策もきちんとされておりました。
ハーフコースでしたが、内容も充実しており、ペアリングのお酒も素晴らしかったです。
初めの一皿めから里山の世界へ誘ってくださり、テーブルで栗の香りを愉しみながらパンが焼かれていき、子ども達は驚きや感動しながら食事を楽しんでおりました。
記念日のケーキをサービスしてくださいました。また家族で伺いたいねと主人が喜んでおりました。なかなか予約が取れないのよと話したらそれも納得のようでしたが、家族で楽しい時間を過ごさせていただきまして、ありがとうございました。",5,5,5,4,0.8888888888888888
29,"美味しいもの好きな4人で利用させていただきました。
電話での応対や、当日のスタッフのお声がけも爽やかで、細かいところまで気遣いいただいてとても嬉しかったです。
最初の飲み物でびっくりする美味しさ。お料理は嬉しい驚きの連続、お味、見た目、演出、意匠、コンセプト、最後まですべてがアメージングに素晴らしかったです。その素晴らしさはパンやメニューまで、最高でした。
シェフがテーブルにいらしてくださったのも嬉しかったです。
4人が一日中ニコニコになってしまうほど、素晴らしい経験をさせていただきました。
ありがとうございました。またぜひ訪れたいお店です。",5,5,5,5,0.7777777777777778
